model,direction,side,dataset,layer,normalized_depth,scope,rho,mer,pier,mer_gain,pier_gain,matrix_retention,embedded_retention,poi_corrections,poi_corruptions,poi_net_utility,total_intervention_energy,edited_positions_or_frames,mean_intervention_norm,mean_perturbation_norm,original_hidden_norm,relative_perturbation,edited_fraction,path
whisper,Conditioning,decoder,cs_dialogue,21,0.6774193548387096,global,0.5,0.2902631735281887,0.533068783068783,-0.027802530743183063,-0.06305114638447967,0.9400328350470923,0.8494176372712147,38,181,-143,53127.09830856323,13836,3.8397729335475015,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L21/conditioning_decoder_L21_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,21,0.6774193548387096,oracle_local,0.5,0.2610348719776629,0.47707231040564374,0.001425770807342741,-0.007054673721340388,0.9880756934243498,0.9692179700499168,21,37,-16,6989.079616308212,1817,3.846494010076066,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L21/conditioning_decoder_L21_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,22,0.7096774193548387,global,0.5,0.2972732133309571,0.5537918871252204,-0.03481257054595144,-0.08377425044091708,0.9397736109911,0.8061564059900166,43,233,-190,53447.02676010132,13695,3.9026671602848717,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L22/conditioning_decoder_L22_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,22,0.7096774193548387,oracle_local,0.5,0.27897582130339216,0.5052910052910053,-0.01651517851838652,-0.035273368606701994,0.9804717877819061,0.913477537437604,24,104,-80,7027.960011720657,1797,3.9109404628384294,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L22/conditioning_decoder_L22_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,23,0.7419354838709677,global,0.5,0.2948969286520525,0.5595238095238095,-0.03243628586704689,-0.08950617283950618,0.9405512831590772,0.8086522462562395,27,230,-203,53848.456291913986,13508,3.9864122217881244,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L23/conditioning_decoder_L23_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,23,0.7419354838709677,oracle_local,0.5,0.26982712528960967,0.5048500881834215,-0.007366482504604033,-0.03483245149911812,0.9877300613496932,0.9242928452579035,12,91,-79,7219.995547056198,1812,3.9845450038941492,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L23/conditioning_decoder_L23_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,24,0.7741935483870968,global,0.5,0.2907384304639696,0.5458553791887125,-0.02827778767896394,-0.07583774250440917,0.9518707336040785,0.8244592346089851,39,211,-172,56626.55299401283,13819,4.097731600985081,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L24/conditioning_decoder_L24_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,24,0.7741935483870968,oracle_local,0.5,0.26109427909463556,0.49603174603174605,0.001366363690370076,-0.026014109347442693,0.9891989976669835,0.9284525790349417,27,86,-59,7491.066858768463,1814,4.129584817402681,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L24/conditioning_decoder_L24_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,25,0.8064516129032258,global,0.5,0.28153032733321454,0.5515873015873016,-0.0190696845482089,-0.08156966490299827,0.9370949624125119,0.8178036605657238,34,219,-185,59958.38101863861,13538,4.428895037571178,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L25/conditioning_decoder_L25_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,25,0.8064516129032258,oracle_local,0.5,0.2712528960969524,0.5026455026455027,-0.008792253311946774,-0.03262786596119932,0.9744232264754169,0.9176372712146422,25,99,-74,8007.560304641724,1801,4.446174516736104,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L25/conditioning_decoder_L25_oracle_local_rho0.5.json
