Dataset,Side,Layer,Scope,rho,MER,PIER,EN-WER,Matrix-CER,Corr,Corrupt,Outside,Matrix-Ret,Edited,Energy,FractionEdited,PIER-gain,MER-gain,Matrix-CER-gain
seame_dev_sge,decoder,2,global,1.0,0.523590333716916,0.9090909090909091,0.9090909090909091,0.47341115434500647,0,7,,0.8383333333333334,870,2776.84836935997,,-0.07954545454545447,-0.22094361334867663,-0.23735408560311283
seame_dev_sge,decoder,2,oracle_local,0.25,0.30264672036823936,0.8295454545454546,0.8295454545454546,0.23605706874189364,0,0,,1.0,38,38.9706808924675,,0.0,0.0,0.0
seame_dev_sge,decoder,2,oracle_local,1.0,0.3095512082853855,0.8409090909090909,0.8409090909090909,0.24124513618677043,0,1,,0.99,38,122.62749099731445,,-0.011363636363636354,-0.0069044879171461515,-0.005188067444876793
seame_dev_sge,encoder,2,global,0.25,0.30609896432681244,0.8068181818181818,0.8068181818181818,0.2438391699092088,2,0,,0.9616666666666667,9819,47097.34942626953,1.0,0.022727272727272818,-0.0034522439585730758,-0.007782101167315175
seame_dev_sge,encoder,2,global,1.0,3.231300345224396,0.9204545454545454,1.7727272727272727,3.372243839169909,0,8,,0.5533333333333333,9819,209845.68017578125,1.0,-0.09090909090909083,-2.9286536248561563,-3.1361867704280155
seame_dev_sge,encoder,2,oracle_local,0.25,0.35903337169159955,0.875,0.875,0.2918287937743191,3,7,,0.91,2176,10434.908069133759,0.22161116203279357,-0.045454545454545414,-0.05638665132336018,-0.055771725032425445
seame_dev_sge,encoder,2,oracle_local,1.0,0.47295742232451093,0.9204545454545454,0.9204545454545454,0.4150453955901427,1,9,,0.7566666666666667,2176,46527.800828933716,0.22161116203279357,-0.09090909090909083,-0.17031070195627157,-0.17898832684824906
seame_dev_sge,encoder,16,global,0.25,0.3245109321058688,0.7727272727272727,0.7727272727272727,0.26718547341115434,5,0,,0.9333333333333333,9819,46767.132583618164,1.0,0.05681818181818188,-0.021864211737629424,-0.0311284046692607
seame_dev_sge,encoder,16,global,1.0,1.3463751438434983,1.0,1.0,1.390402075226978,0,15,,0.07166666666666667,9819,209033.9549560547,1.0,-0.17045454545454541,-1.043728423475259,-1.1543450064850842
seame_dev_sge,encoder,16,oracle_local,0.25,0.37284234752589185,0.8409090909090909,0.8522727272727273,0.3099870298313878,4,5,,0.8966666666666666,2176,10360.507807254791,0.22161116203279357,-0.011363636363636354,-0.07019562715765248,-0.07392996108949418
seame_dev_sge,encoder,16,oracle_local,1.0,0.6444188722669736,0.9318181818181818,0.9318181818181818,0.6070038910505836,1,10,,0.7916666666666666,2176,46354.403160095215,0.22161116203279357,-0.10227272727272718,-0.3417721518987342,-0.37094682230868997
seame_dev_sge,encoder,21,global,0.25,0.4718066743383199,0.8863636363636364,0.8863636363636364,0.4176394293125811,2,7,,0.755,9819,59780.01629638672,1.0,-0.05681818181818177,-0.16915995397008055,-0.18158236057068744
seame_dev_sge,encoder,21,global,1.0,0.9712313003452244,1.0,1.0,0.9675745784695201,0,15,,0.03333333333333333,9819,188975.55084228516,1.0,-0.17045454545454541,-0.6685845799769851,-0.7315175097276265
seame_dev_sge,encoder,21,oracle_local,0.25,0.32796317606444186,0.8409090909090909,0.8409090909090909,0.2607003891050584,1,2,,0.9666666666666667,2176,13249.428008556366,0.22161116203279357,-0.011363636363636354,-0.0253164556962025,-0.024643320363164745
seame_dev_sge,encoder,21,oracle_local,1.0,1.006904487917146,0.9318181818181818,0.9318181818181818,1.0155642023346303,0,9,,0.7283333333333334,2176,41913.563873291016,0.22161116203279357,-0.10227272727272718,-0.7042577675489067,-0.7795071335927366
seame_dev_sge,decoder,24,global,0.25,0.29228998849252014,0.7727272727272727,0.7840909090909091,0.22957198443579765,5,0,,0.98,700,1535.9442446231842,,0.05681818181818188,0.010356731875719227,0.006485084306095984
seame_dev_sge,decoder,24,global,1.0,1.2784810126582278,0.8181818181818182,4.590909090909091,0.6809338521400778,9,8,,0.42,2502,16930.422345638275,,0.011363636363636354,-0.9758342922899884,-0.4448767833981842
seame_dev_sge,decoder,24,oracle_local,0.25,0.3037974683544304,0.8295454545454546,0.8295454545454546,0.23735408560311283,0,0,,0.9983333333333333,38,83.50998961925507,,0.0,-0.0011507479861910253,-0.0012970168612191912
seame_dev_sge,decoder,24,oracle_local,1.0,0.31990794016110474,0.8295454545454546,0.8636363636363636,0.251621271076524,0,0,,0.9683333333333334,38,267.8484687805176,,0.0,-0.01726121979286538,-0.01556420233463035
seame_dev_sge,decoder,27,global,0.25,0.3095512082853855,0.7727272727272727,0.7727272727272727,0.2503242542153048,6,1,,0.9566666666666667,713,2185.119430541992,,0.05681818181818188,-0.0069044879171461515,-0.01426718547341116
seame_dev_sge,decoder,27,global,1.0,1.7986191024165707,0.7954545454545454,3.727272727272727,0.9481193255512321,8,5,,0.44,3314,31597.360994815826,,0.03409090909090917,-1.4959723820483313,-0.7120622568093384
seame_dev_sge,decoder,27,oracle_local,0.25,0.3037974683544304,0.8295454545454546,0.8295454545454546,0.23735408560311283,0,0,,0.9983333333333333,38,116.60968899726868,,0.0,-0.0011507479861910253,-0.0012970168612191912
seame_dev_sge,decoder,27,oracle_local,1.0,0.30724971231300346,0.8409090909090909,0.8409090909090909,0.23735408560311283,0,1,,0.9866666666666667,38,381.55466079711914,,-0.011363636363636354,-0.004602991944764101,-0.0012970168612191912
