Dataset,Direction,Side,Layer,rho,Delta-MER,Delta-PIER,Delta-MatrixRet,Delta-Outside
cs_dialogue,Raw,encoder,4,0.5,0.26275767836986874,0.13271604938271597,-0.09539445260520185,1222.0
cs_dialogue,Raw,encoder,5,0.5,0.2891938454226816,0.12874779541446202,-0.09617212477317894,1256.0
cs_dialogue,Raw,encoder,6,0.5,0.3236499732667974,0.14417989417989419,-0.09643134882917137,1275.0
cs_dialogue,Raw,encoder,7,0.5,0.33903641656270417,0.140652557319224,-0.0883954030934071,1180.0
cs_dialogue,Raw,encoder,8,0.5,0.3291748351452504,0.1463844797178131,-0.0793225611336732,1085.0
cs_dialogue,Raw,encoder,9,0.5,0.32370938038377,0.14417989417989419,-0.08156916961894067,1090.0
cs_dialogue,Raw,encoder,10,0.5,0.2155884274936138,0.10229276895943562,-0.08269247386157441,1072.0
cs_dialogue,Raw,encoder,11,0.5,0.21713301253490164,0.11552028218694887,-0.07724876868573405,1030.0
cs_dialogue,Raw,encoder,12,0.5,0.28551060417037954,0.1393298059964726,-0.08865462714939942,1175.0
cs_dialogue,Raw,encoder,13,0.5,0.341828551060417,0.12477954144620818,-0.08424781819752869,1084.0
cs_dialogue,Raw,encoder,14,0.5,0.35495752391136465,0.11155202821869492,-0.07577983236844388,982.0
cs_dialogue,Raw,encoder,15,0.5,0.44501871324184644,0.1106701940035274,-0.08295169791756674,1056.0
cs_dialogue,Raw,encoder,16,0.25,0.0365353769381572,0.019841269841269826,-0.03750108010023323,474.0
cs_dialogue,Raw,encoder,16,0.5,0.3058278381750134,0.11992945326278659,-0.06739825455802295,894.0
cs_dialogue,Raw,encoder,16,1.0,-0.26994593952355483,-0.17107583774250446,0.548431694461246,-6719.0
cs_dialogue,Raw,encoder,17,0.5,0.21855878334224443,0.11596119929453252,-0.027045709841873378,393.0
cs_dialogue,Raw,encoder,18,0.5,0.05922889562169542,0.04938271604938271,0.03750108010023323,-438.0
cs_dialogue,Raw,encoder,19,0.5,0.1265965662686389,0.003527336860670194,0.012788386762291548,-230.0
cs_dialogue,Raw,encoder,20,0.5,-0.2088754232757084,0.007495590828924259,0.26138425645899943,-3127.0
cs_dialogue,Raw,encoder,21,0.25,-0.027743123626210398,-0.04894179894179895,0.05184481119847917,-768.0
cs_dialogue,Raw,encoder,21,0.5,-0.9626923305411988,-0.20546737213403876,0.5842910222068608,-7213.0
cs_dialogue,Raw,encoder,21,1.0,-0.03160458622943019,-0.17107583774250446,0.5727123477058671,-7011.0
cs_dialogue,Raw,encoder,22,0.5,-1.0295253371353887,-0.23192239858906527,0.5874017108787696,-7285.0
cs_dialogue,Raw,encoder,23,0.5,-1.1687162122022219,-0.24691358024691368,0.5963881448198393,-7405.0
cs_dialogue,Raw,encoder,24,0.5,-1.0427731242202816,-0.25396825396825395,0.6012269938650308,-7470.0
cs_dialogue,Raw,encoder,25,0.5,-0.8533238281946177,-0.25617283950617276,0.6325066966214465,-7839.0
cs_dialogue,Raw,encoder,26,0.5,-0.7543515713182438,-0.22883597883597884,0.5893890953080446,-7291.0
cs_dialogue,Raw,encoder,27,0.5,-0.7800154458504128,-0.23809523809523803,0.5257063855525792,-6553.0
cs_dialogue,Raw,encoder,28,0.5,-0.3483633339274045,-0.0978835978835979,0.365160286874622,-4549.0
cs_dialogue,Raw,encoder,29,0.5,-0.4977128259965544,-0.25044091710758376,0.5238918171606325,-6553.0
cs_dialogue,Raw,encoder,30,0.5,-0.3870967741935484,-0.2751322751322751,0.5073014775771191,-6408.0
cs_dialogue,Raw,encoder,31,0.5,-0.3957108061545773,-0.18121693121693117,0.5918949278493044,-7280.0
seame_dev_man,Raw,decoder,0,0.25,0.0020942408376963817,0.0,0.0,
seame_dev_man,Raw,decoder,0,0.5,0.0010471204188481908,0.0,0.003072196620583667,
seame_dev_man,Raw,decoder,0,1.0,-0.4324607329842932,-0.1717171717171717,0.1751152073732719,
seame_dev_man,Raw,decoder,1,0.5,-0.002094240837696326,0.010101010101010055,0.010752688172043112,
seame_dev_man,Raw,decoder,2,0.25,0.003141361256544517,0.0,0.001536098310291889,
seame_dev_man,Raw,decoder,2,0.5,0.0,0.010101010101010055,0.019969278033794224,
seame_dev_man,Raw,decoder,2,1.0,-0.3172774869109948,-0.2222222222222222,0.22734254992319514,
seame_dev_man,Raw,decoder,3,0.5,-0.007329842931937169,0.0,0.02304147465437789,
seame_dev_man,Raw,decoder,4,0.5,-0.002094240837696326,-0.010101010101010055,0.01228878648233489,
seame_dev_man,Raw,decoder,5,0.5,-0.002094240837696326,-0.010101010101010055,0.015360983102918557,
seame_dev_man,Raw,decoder,6,0.5,0.003141361256544517,0.010101010101010055,0.01228878648233489,
seame_dev_man,Raw,decoder,7,0.5,0.0031413612565444615,0.010101010101010055,0.007680491551459334,
seame_dev_man,Raw,decoder,8,0.5,0.002094240837696326,-0.010101010101010166,0.006144393241167445,
seame_dev_man,Raw,decoder,9,0.5,0.0,-0.010101010101010166,0.006144393241167445,
seame_dev_man,Raw,decoder,10,0.5,0.0010471204188481908,0.0,0.018433179723502335,
seame_dev_man,Raw,decoder,11,0.5,0.002094240837696326,0.02020202020202022,0.021505376344086002,
seame_dev_man,Raw,decoder,12,0.5,0.0,0.0,0.018433179723502335,
seame_dev_man,Raw,decoder,13,0.5,0.012565445026178013,0.02020202020202022,0.021505376344086002,
seame_dev_man,Raw,decoder,14,0.5,0.011518324607329822,0.030303030303030276,0.02457757296466967,
seame_dev_man,Raw,decoder,15,0.5,0.007329842931937225,0.04040404040404033,0.027649769585253448,
seame_dev_man,Raw,decoder,16,0.5,0.011518324607329822,0.0,0.010752688172043001,
seame_dev_man,Raw,decoder,17,0.5,-0.003141361256544517,0.04040404040404044,0.029185867895545337,
seame_dev_man,Raw,decoder,18,0.5,0.010471204188481686,0.02020202020202022,0.009216589861751112,
seame_dev_man,Raw,decoder,19,0.5,-0.011518324607329822,0.0505050505050505,0.044546850998463894,
seame_dev_man,Raw,decoder,20,0.5,0.006282722513089034,0.07070707070707072,0.03533026113671278,
seame_dev_man,Raw,decoder,21,0.5,0.005235602094240843,0.030303030303030276,0.03686635944700467,
seame_dev_man,Raw,decoder,22,0.5,-0.19057591623036646,0.101010101010101,0.06451612903225801,
seame_dev_man,Raw,decoder,23,0.5,-0.004188481675392652,0.11111111111111105,0.06451612903225801,
seame_dev_man,Raw,decoder,24,0.25,0.011518324607329822,0.030303030303030276,0.02457757296466978,
seame_dev_man,Raw,decoder,24,0.5,-0.00837696335078536,0.13131313131313138,0.08294930875576034,
seame_dev_man,Raw,decoder,24,1.0,-1.0157068062827226,-0.16161616161616155,0.7204301075268817,
seame_dev_man,Raw,decoder,25,0.5,-0.041884816753926746,0.06060606060606055,0.12442396313364057,
seame_dev_man,Raw,decoder,26,0.5,-0.04188481675392669,0.09090909090909094,0.13056835637480801,
