model,side,layer,cos_unique_shared,cos_unique_raw,cos_shared_raw,cos_unique_conditioning,cos_shared_conditioning,i_unique,i_shared,sigma_unique,sigma_shared,energy_A_unique,energy_B_unique,energy_A_shared,energy_B_shared,count_a,count_b,direction_hash
qwen3_asr_1p7b,encoder,6,2.42861286636753e-17,-0.026153338133821136,-0.05984446992819872,,,31,0,0.9756897817887334,0.9998876450502895,2.6427488350672905,2.1533202916974936,425.51198355548837,430.3028104548006,4002,3824,sha256:84b92c1ef43b871cfb9c0450ea48855b8cf9a4e25bd9932a5ecd8fad55a8747e
qwen3_asr_1p7b,encoder,7,-4.85722573273506e-17,0.08450134520849673,-0.10510125041172344,,,25,0,0.983314654849242,0.9998584033535163,4.031838223753357,3.589589275157998,413.1436098550827,420.4062152041042,4002,3824,sha256:96c0a1e77bb5c6644d5668381b2d8183390b2cae8d4dc3fa4b3f2b0cbe2f426f
qwen3_asr_1p7b,encoder,8,1.0408340855860843e-17,-0.005119733161192037,-0.0829997403125551,,,26,0,0.9832285422012254,0.9998420620647751,4.460727620366242,3.4741791115020586,391.155138311933,397.504894364541,4002,3824,sha256:e7edf43e2e1a7ae650a6756de93401990b7a3a54acbe5a5eedd4b2a3d9bb1740
qwen3_asr_1p7b,encoder,9,-4.85722573273506e-17,0.014171276601717325,-0.1226373965881581,,,25,0,0.9819402646799081,0.9998067453471944,4.754954357359689,3.7446687103551985,357.0426250766825,363.8213654454555,4002,3824,sha256:3a1fb08b61352f6ed9c30402731591dad777f7979c7c92c282dcaddc31f1fe45
qwen3_asr_1p7b,encoder,10,6.938893903907228e-18,0.12039369606712186,-0.1541300750645185,,,31,0,0.9711475509757249,0.9998136872708696,3.5298702654143734,2.8250546286441547,399.9797221271926,409.1544297124818,4002,3824,sha256:915fbe1f5f62add5df6648c4b541498a5029e6a7799924a8a521e1ed3a791a16
qwen3_asr_1p7b,encoder,11,1.0755285551056204e-16,0.17951454619249746,-0.14884779562835998,,,29,0,0.9751849514938632,0.9997735264493341,4.2660895967095405,3.3006640812629513,380.128989262632,390.7131840205133,4002,3824,sha256:c10380fc085ec959c11a880474843c9fd6b46c8056d44139db5a44b366b431bd
qwen3_asr_1p7b,encoder,12,4.5102810375396984e-17,0.06441451586949867,-0.10598303712740925,,,29,0,0.9758615966570323,0.9997921973357355,4.337981838966183,4.071501398246581,395.40583289331613,403.3263500878771,4002,3824,sha256:34b7e5dfeeb704c69a5695b053951129b17902b5655b838a03f5db9ec81fbbd8
qwen3_asr_1p7b,encoder,13,-1.214306433183765e-17,0.06376784418826144,-0.08981622732593396,,,30,0,0.9735744030569804,0.9997304977800168,4.37545854567303,4.06169801547041,339.6819580157277,345.5052382378239,4002,3824,sha256:234c5f31f269627fdb4c392c408d058acf7307133bbfe648ac61941981fa2a10
qwen3_asr_1p7b,encoder,14,1.734723475976807e-17,-0.0013368207669989442,-0.13064745260323027,,,29,0,0.9692145885202114,0.999759610547411,4.694729068575677,4.1664501359666595,371.49038376253793,380.9990046252065,4002,3824,sha256:452240a9a32866f57ffccbef29658d52556565032e11b63d12336b56e41b0364
qwen3_asr_1p7b,encoder,15,-1.734723475976807e-17,0.0158157248749628,-0.1104472189367353,,,31,0,0.9613563153930031,0.9997557572652132,3.090835355372529,2.21786869988393,352.70343796417893,361.8822057570352,4002,3824,sha256:ba8b77fe1f2ea3904e41755a1e428d80b770edcc6f81560f908fa923b05711ae
qwen3_asr_1p7b,encoder,16,-1.734723475976807e-18,0.046754610150075815,-0.11672181890296504,,,30,0,0.9529745060209353,0.9997755236201823,2.709478740192535,2.208708208004856,343.1981028292258,354.1166575983881,4002,3824,sha256:b33a3e79b6a03b2624c79a531114bdc1ccc5494a425a500813f746200fc76773
qwen3_asr_1p7b,encoder,17,-9.020562075079397e-17,0.21756074130884595,-0.10300130231835711,,,30,0,0.9444927400354917,0.999770720784611,3.71335007189065,2.474775150726976,351.1747861908328,360.0559876056636,4002,3824,sha256:6218161bb2aa8788425b9f0a5950ee9606737a386f1ac20811fa0875d9637745
