model,side,layer,direction,comparator,cosine,angle_deg,raw_l2,unit_l2_identity,a5_norm,comparator_norm,direction_hash
whisper,encoder,23,pos_unique,Raw,0.07557450493508182,85.66576729955568,1.359724602098694,1.359724602098694,1.0,1.0,sha256:95fb79443c690e85cf498b5d5ff7cf8606d6e2157cdb1ebeb770d40d8f2fd171
whisper,encoder,23,unique_minus_shared,Raw,0.713071232219798,44.51464817067539,0.7575338959662158,0.7575338959662158,0.9999999403953552,1.0,sha256:141effec8a455a2fef9d022be607e2fa75ac06f9ed680ffda46a329f486669b7
whisper,encoder,24,neg_shared,Raw,0.9269821752638323,22.030826165227076,0.38214611538468174,0.38214611538468174,1.0,1.0,sha256:6f5f0826b2b854e4e22aebad66bbc30ac0c90e57f7b2e810d070275b6f17d6b5
whisper,encoder,24,pos_unique,Raw,0.10362003057000946,84.05233355719825,1.3389398571306117,1.3389398571306117,1.0,1.0,sha256:69c246959027af42dc8b30ec8130a63c0d4b53d6add069ddd2942cd3bad8235d
whisper,encoder,24,unique_minus_shared,Raw,0.7287458537125765,43.218642665349876,0.7365516850862326,0.7365516850862326,0.9999999403953552,1.0,sha256:db64dd05a55b1a738bd087128c2601d0d551f7623d0a03f40875adfbcd7adfba
whisper,encoder,25,neg_shared,Raw,0.9194038499278807,23.160916110853204,0.4014876190915794,0.4014876190915794,1.0,1.0,sha256:84644dcb47b969cc045112f2d55e42c4e4fe8314947b554c1cb6cc5211e3b3a4
whisper,encoder,25,pos_unique,Raw,0.09784905693973908,84.38467698612251,1.3432430478583144,1.3432430478583144,1.0,1.0,sha256:24780d84a0534120e435921e45b8793a3d4ec3c959a6244613293c07d92b1917
whisper,encoder,25,unique_minus_shared,Raw,0.7193064227716308,44.00275293040218,0.749257731959738,0.749257731959738,1.0,1.0,sha256:d7b3b343ee13697aeb9774d3dfc7a2534f99519f520586f66a74511f73d90bac
whisper,encoder,26,neg_shared,Raw,0.9190549701542975,23.211686278586306,0.40235575538125967,0.40235575538125967,0.9999999403953552,0.9999999999999998,sha256:43e647332bebcd960d25a70f61f7c7ed18545f032c39b4f3bea1d732962a6f6e
whisper,encoder,26,pos_unique,Raw,0.03455956267259602,88.0194885418239,1.3895613970719116,1.3895613970719116,1.0,0.9999999999999998,sha256:a22b527b4bde78b7eab7d37612c22e1f9a8cb1e2d8c57ea238aed05306a1154c
whisper,encoder,26,unique_minus_shared,Raw,0.674307281937005,47.59962025241118,0.8070845375690052,0.8070845375690052,1.0,0.9999999999999998,sha256:829c00eba6971abacd5a6291e2385d1b3414defe55d17e7e6ea52767fe9d9a4e
whisper,encoder,27,neg_shared,Raw,0.919240335755497,23.184724326312725,0.4018946657921727,0.4018946657921727,1.0,1.0,sha256:61392e949d71f93edeffcc709f2effe02fe752b39dee4c268e73ee2b35cf85be
whisper,encoder,27,pos_unique,Raw,0.09854764451895417,84.3444564740963,1.3427228703141152,1.3427228703141152,1.0,1.0,sha256:970a0f5692f63b5a33e8818d4c0650a2d4d7c6a2558983d676aef7dadfeb2cf4
whisper,encoder,27,unique_minus_shared,Raw,0.7196847932637969,43.97153748423582,0.7487525810873333,0.7487525810873333,1.0,1.0,sha256:721e52972b42e65894f2d54fa780f995e7c2ad2db256f4c3dda994f9e5885430
whisper,encoder,28,neg_shared,Raw,0.8800984004658993,28.345764310435655,0.4896970381925067,0.4896970381925067,1.0,0.9999999999999999,sha256:1485a3dfa0e4406852b10396025a0839a44f2b425050ba2b8c1e41895c38a8cc
whisper,encoder,28,pos_unique,Raw,0.20280134396018415,78.29917799413425,1.2626944640440365,1.2626944640440365,1.0,0.9999999999999999,sha256:8467ae5006b8044fac2703cf476037855d9b863863922949cad610a82ff5bda0
whisper,encoder,28,unique_minus_shared,Raw,0.7657257680809136,40.02839716325267,0.6845060138894461,0.6845060138894461,1.0,0.9999999999999999,sha256:63f4a2752d7b2eb4a48dbcc40724596f79995778617c591de15e0aad22da8bbc
whisper,encoder,29,neg_shared,Raw,0.8594127561426483,30.74928900866426,0.5302589152994432,0.5302589152994432,0.9999999403953552,1.0,sha256:a2e047b5d3338502d614457ebb66cdd221ccd58c210c2b0a90806abdd71753ad
whisper,encoder,29,pos_unique,Raw,0.17940558241528026,79.66486141454845,1.2810889260626532,1.2810889260626532,1.0,1.0,sha256:2d6b14ebbc44951f160585e3b0a96ab6db294ba3fb4f82b252d3992fa8e38f4a
