direction,layer,rho,wer,mer,pier,en_wer,matrix_cer,corrections,corruptions,utility,outside_harm,embed_retention,matrix_retention,energy,utility_per_energy,edits,effective_dose,direction_hash,source
Conditioning,2,0.5,n/a — no frozen canonical overall WER,0.2814814814814815,0.7647058823529411,0.7647058823529411,0.10552763819095477,0,3,-3.0,0,0.8421052631578947,1.0,468.7915974855423,-0.0063994321060597105,237,2.1071809068954193,sha256:c82eff37b48fe6a95eb8aba29816cdee4c1fe84b56f50972faf94c853869aea7,NEW
Conditioning,2,1.0,n/a — no frozen canonical overall WER,0.28888888888888886,0.8088235294117647,0.8088235294117647,0.10050251256281408,0,6,-7.0,1,0.6842105263157895,0.9943820224719101,800.9390151500702,-0.008739741562831005,241,4.2143618137908385,sha256:c82eff37b48fe6a95eb8aba29816cdee4c1fe84b56f50972faf94c853869aea7,NEW
Conditioning,2,2.0,n/a — no frozen canonical overall WER,1.1296296296296295,1.0,1.0147058823529411,1.170854271356784,0,19,-185.0,179,0.0,0.06741573033707865,1145.6109519004822,-0.16148588636753075,248,8.428723627581677,sha256:c82eff37b48fe6a95eb8aba29816cdee4c1fe84b56f50972faf94c853869aea7,NEW
Local+Cond,2,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,238.07757580280304,0.0,232,1.0535904534477096,sha256:fc057f26392303fa881c3bd680f5eeffe1d33fb702e312afe1bc6fef72effee0,NEW
Local+Cond,2,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,-1.0,1,1.0,0.9943820224719101,445.3073034286499,-0.0022456402405720403,231,2.1071809068954193,sha256:fc057f26392303fa881c3bd680f5eeffe1d33fb702e312afe1bc6fef72effee0,NEW
Local+Cond,2,1.0,n/a — no frozen canonical overall WER,0.3148148148148148,0.8382352941176471,0.8382352941176471,0.12562814070351758,0,8,-13.0,7,0.5789473684210527,0.9719101123595506,757.6205925941467,-0.01715898449313142,236,4.2143618137908385,sha256:fc057f26392303fa881c3bd680f5eeffe1d33fb702e312afe1bc6fef72effee0,NEW
Local+Cond,2,2.0,n/a — no frozen canonical overall WER,2.562962962962963,0.9852941176470589,1.0,3.120603015075377,0,18,-148.0,142,0.05263157894736842,0.2696629213483146,2138.865723848343,-0.06919555461093264,456,8.428723627581677,sha256:fc057f26392303fa881c3bd680f5eeffe1d33fb702e312afe1bc6fef72effee0,NEW
Local,2,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,233.75662195682526,0.0,232,1.0535904534477096,sha256:50eb5de69c9c25f8a99c1170393bc373f7dd05668dc97c76bc100a08a3202da5,NEW
Local,2,0.5,n/a — no frozen canonical overall WER,0.2777777777777778,0.7205882352941176,0.7205882352941176,0.11557788944723618,0,0,-3.0,3,1.0,0.9831460674157303,435.0674966573715,-0.0068954817885708165,232,2.1071809068954193,sha256:50eb5de69c9c25f8a99c1170393bc373f7dd05668dc97c76bc100a08a3202da5,NEW
Local,2,1.0,n/a — no frozen canonical overall WER,1.4407407407407407,0.8676470588235294,0.8676470588235294,1.64321608040201,2,12,-105.0,104,0.3684210526315789,0.46629213483146065,1596.0733380317688,-0.06578645072129514,486,4.2143618137908385,sha256:50eb5de69c9c25f8a99c1170393bc373f7dd05668dc97c76bc100a08a3202da5,NEW
Local,2,2.0,n/a — no frozen canonical overall WER,0.937037037037037,0.9852941176470589,0.9852941176470589,0.9195979899497487,0,18,-181.0,175,0.05263157894736842,0.08426966292134831,321.661869764328,-0.5627026919062967,75,8.428723627581677,sha256:50eb5de69c9c25f8a99c1170393bc373f7dd05668dc97c76bc100a08a3202da5,NEW
Raw+Cond,2,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,238.10100668668747,0.0,232,1.0535904534477096,sha256:548a6637df10898bfed64e41e49926c4ffdcc2209ad29acaeb46445f2dc2b6ba,NEW
